1;supply_node;2231.00;9.68;1238.00;-1.57;0
1;supply_node;2197.00;9.70;1268.00;-1.57;0
1;supply_node;2202.00;9.60;1194.00;-1.57;0
1;supply_node;2222.00;9.67;1235.00;-1.57;0
1;supply_node;2227.00;9.71;1248.00;-1.57;0
1;supply_node;2211.00;9.61;1209.00;-1.57;0
1;supply_node;2220.00;9.65;1218.00;-1.57;0
1;supply_node;2180.00;9.78;1225.00;-1.57;0
1;supply_node;2207.00;9.73;1273.00;-1.57;0
1;supply_node;2190.00;9.75;1248.00;-1.57;0
1;supply_node;2243.00;9.68;1236.00;-1.57;0
1;supply_node;2202.00;9.61;1203.00;-1.57;0
1;supply_node;2236.00;9.71;1241.00;-1.57;0
1;supply_node;2229.00;9.68;1229.00;-1.57;0
1;supply_node;2197.00;9.72;1243.00;-1.57;0
1;supply_node;2195.00;9.69;1251.00;-1.57;0
1;supply_node;2177.00;9.57;1200.00;-1.57;0
1;supply_node;2234.00;9.69;1239.00;-1.57;0
1;supply_node;2228.00;9.71;1247.00;-1.57;0
1;arms_factory;2207.00;9.71;1262.00;-1.57;0
1;arms_factory;2217.00;9.73;1258.00;-1.57;0
1;arms_factory;2203.00;9.70;1260.00;-1.57;0
1;arms_factory;2198.00;9.60;1192.00;-1.57;0
1;arms_factory;2219.00;9.63;1214.00;-1.57;0
1;arms_factory;2187.00;9.85;1232.00;-1.57;0
1;industrial_complex;2200.00;9.69;1256.00;-1.57;0
1;industrial_complex;2177.00;9.61;1209.00;-1.57;0
1;industrial_complex;2189.00;9.83;1228.00;-1.57;0
1;industrial_complex;2205.00;9.60;1195.00;-1.57;0
1;industrial_complex;2185.00;9.85;1232.00;-1.57;0
1;industrial_complex;2177.00;9.57;1201.00;-1.57;0
1;air_base;2177.00;9.73;1224.00;-1.57;0
1;bunker;2224.00;9.67;1220.00;-1.57;0
1;bunker;2189.00;9.83;1228.00;-1.57;0
1;bunker;2205.00;9.70;1259.00;-1.57;0
1;bunker;2219.00;9.72;1245.00;-1.57;0
1;bunker;2194.00;9.73;1220.00;-1.57;0
1;bunker;2171.00;9.57;1205.00;-1.57;0
1;bunker;2214.00;9.75;1269.00;-1.57;0
1;bunker;2219.00;9.74;1254.00;-1.57;0
1;bunker;2186.00;9.85;1232.00;-1.57;0
1;bunker;2204.00;9.70;1256.00;-1.57;0
1;bunker;2207.00;9.69;1230.00;-1.57;0
1;bunker;2171.00;9.63;1214.00;-1.57;0
1;bunker;2199.00;9.68;1218.00;-1.57;0
1;bunker;2227.00;9.69;1231.00;-1.57;0
1;bunker;2187.00;9.60;1203.00;-1.57;0
1;bunker;2175.00;9.75;1232.00;-1.57;0
1;bunker;2222.00;9.73;1253.00;-1.57;0
