1;2447;9.900000;118;small
2;2087;9.900000;309;small
3;3673;9.900000;230;small
4;2649;9.900000;292;small
5;1680;9.900000;278;small
6;3221;9.900000;295;small
7;2031;9.900000;484;small
8;2201;9.900000;345;small
9;3814;9.900000;516;small
10;3163;9.900000;568;small
11;2795;9.900000;645;small
12;1842;9.900000;443;small
13;3551;9.900000;668;small
14;2160;9.900000;550;small
15;2582;9.900000;640;small
16;2945;9.900000;596;small
17;2038;9.900000;745;small
18;2623;9.900000;716;small
19;3424;9.900000;660;small
20;1826;9.900000;720;small
21;3870;9.900000;732;small
22;3153;9.900000;711;small
23;2540;9.900000;844;small
24;3692;9.900000;859;small
25;1877;9.900000;900;small
26;1837;9.900000;916;small
27;2325;9.900000;1019;small
28;2918;9.900000;839;small
29;3383;9.900000;1063;small
30;3136;9.900000;963;small
31;2600;9.900000;910;small
32;3627;9.900000;925;small
33;3802;9.900000;1103;small
34;2229;9.900000;1133;small
35;2747;9.900000;1125;small
36;3254;9.900000;1215;small
37;2350;9.900000;1207;small
38;3155;9.900000;1206;small
39;3440;9.900000;1278;small
40;3654;9.900000;1424;small
41;2413;9.900000;1418;small
42;2669;9.900000;1331;small
43;2092;9.900000;1432;small
44;3110;9.900000;1339;small
45;3221;9.900000;1437;small
46;3700;9.900000;1493;small
47;2372;9.900000;1449;small
48;2784;9.900000;1532;small
49;3531;9.900000;1550;small
50;3426;9.900000;1733;small
51;3064;9.900000;1676;small
52;3361;9.900000;1858;small
53;2659;9.900000;359;small
54;5194;9.900000;501;small
55;73;9.900000;175;small
56;3806;9.900000;285;small
57;5178;9.900000;163;small
58;219;9.900000;685;small
59;1187;9.900000;674;small
60;4788;9.900000;719;small
61;2138;9.900000;748;small
62;5173;9.900000;1516;small
63;1767;9.900000;908;small
64;69;9.900000;1757;small
65;4267;9.900000;931;small
66;1070;9.900000;1694;small
67;3391;9.900000;1936;small
68;2156;9.900000;1512;small
